0,2,4,5,11,12,1,8,9,13,4,4,9,11,8,8,7,0,9,12,18,10,9,12,7,4,9,9,2,26,8,3
2,7,4,3,9,10,5,11,5,14,4,4,18,10,8,4,8,2,4,8,17,6,5,10,8,4,11,18,3,13,12,6
3,13,2,4,10,9,2,8,8,10,6,5,10,3,5,9,10,1,5,8,16,10,10,6,11,7,9,10,6,14,11,7
1,2,6,2,6,17,5,7,9,7,3,9,19,5,9,2,7,2,7,4,15,11,11,6,14,5,7,11,8,16,12,10
5,8,9,3,4,7,4,13,5,16,5,3,16,6,10,7,6,2,1,10,16,8,11,9,3,4,9,19,5,16,9,4
5,10,3,4,6,11,1,7,2,14,6,7,13,6,11,6,8,1,10,6,19,11,14,9,5,3,7,8,5,15,15,3
0,8,12,4,9,8,2,11,3,16,4,5,10,10,12,7,9,1,5,16,15,4,9,7,6,1,14,17,3,16,10,1
4,11,6,3,10,8,4,6,4,10,15,3,7,6,8,3,8,5,6,11,15,11,9,12,6,3,10,12,5,19,9,2
7,10,6,2,9,15,4,5,6,12,6,5,12,11,9,4,8,2,4,3,14,5,8,6,9,6,9,12,7,20,10,2
3,10,5,4,6,9,2,6,6,5,5,9,16,4,10,8,10,3,9,7,16,11,7,5,16,1,9,10,7,16,12,4
2,7,6,7,3,10,5,9,10,10,4,2,14,8,9,4,14,3,6,3,17,13,11,6,6,3,10,14,2,19,10,8
4,11,5,4,2,12,1,4,5,7,6,0,6,10,12,8,14,1,5,12,16,13,7,7,4,3,12,27,5,22,9,1
5,8,10,5,4,10,4,8,13,8,5,6,4,13,3,9,8,7,7,6,17,10,9,8,7,6,7,10,6,13,8,5
0,11,12,2,3,7,3,8,6,13,2,3,20,2,13,5,12,0,2,12,16,3,8,5,7,2,14,17,3,19,18,8
4,8,7,7,13,14,2,6,9,9,7,6,16,7,3,3,8,1,11,2,19,8,6,7,3,1,8,15,2,21,13,3
3,9,10,6,9,5,3,7,6,19,5,5,12,5,8,2,11,1,4,8,15,6,8,4,11,3,9,15,5,21,14,4
7,10,11,1,11,2,1,5,10,14,3,3,11,14,13,4,6,4,4,3,15,5,8,6,6,8,10,18,6,21,12,2
7,13,10,5,3,1,2,7,7,11,7,3,11,8,12,5,9,0,7,10,13,15,9,7,8,3,9,14,4,19,13,1
1,8,11,4,8,13,4,11,10,10,5,4,14,9,8,4,12,2,4,8,16,7,6,10,8,3,10,16,1,12,8,7
4,9,5,7,19,10,1,15,8,10,8,4,11,9,7,8,6,4,7,3,14,11,10,4,7,5,10,6,3,10,8,5
3,10,9,5,5,6,1,7,10,8,9,5,10,8,5,6,11,3,6,9,8,8,10,12,7,8,7,11,6,17,13,4
6,9,4,5,6,15,2,10,4,11,5,6,19,6,11,4,10,6,5,3,17,4,7,7,11,6,8,10,4,15,13,4
4,10,8,5,6,16,3,9,4,10,4,4,14,5,10,8,8,1,6,10,16,7,1,7,11,4,9,11,6,13,12,8
4,4,7,6,3,16,3,6,8,7,6,5,12,6,13,7,13,3,10,3,16,16,12,2,14,3,9,6,3,18,6,4
4,8,8,10,0,12,3,8,14,8,5,7,11,1,2,6,8,6,11,6,11,17,8,5,6,5,7,15,3,15,9,10
6,8,6,6,8,12,2,8,7,8,6,5,10,9,6,9,9,4,11,5,12,11,4,12,10,1,9,16,8,16,6,3
0,8,10,6,6,4,1,13,2,14,6,5,8,6,8,7,5,1,14,14,20,14,4,7,11,2,5,13,3,18,11,3
4,6,6,4,3,11,6,10,13,10,3,4,15,8,10,8,13,1,9,7,15,9,5,3,14,1,10,6,4,14,9,5
5,5,5,5,4,6,1,9,6,14,4,6,17,8,14,8,12,3,3,4,15,9,9,5,14,4,12,11,1,20,9,4
2,9,9,7,3,5,2,5,7,14,2,4,16,10,14,7,11,0,5,9,15,9,6,5,3,3,10,25,4,11,12,0
0,5,12,6,5,9,6,8,6,14,3,5,14,8,8,7,12,4,6,10,15,8,9,6,6,6,11,16,2,15,6,2
4,5,7,9,4,10,1,6,6,13,4,5,14,6,9,7,12,4,3,8,16,10,8,7,9,5,9,11,7,19,13,4
